migsp,FIPS County Code,FIPS MCD Code,MIGCOUNTY,MIGSP Migration (3-digit) State Code,MIGPUMA
39,47,0,Fayette County,39,4800
39,49,0,Franklin County,39,4100
39,51,0,Fulton County,39,290
39,53,0,Gallia County,39,5000
39,55,0,Geauga County,39,1090
39,57,0,Greene County,39,4700
39,59,0,Guernsey County,39,2900
39,61,0,Hamilton County,39,5500
39,63,0,Hancock County,39,2400
39,65,0,Hardin County,39,2700
39,67,0,Harrison County,39,3000
39,69,0,Henry County,39,100
39,71,0,Highland County,39,5200
39,73,0,Hocking County,39,4900
39,75,0,Holmes County,39,2900
39,77,0,Huron County,39,2100
39,79,0,Jackson County,39,4900
