migsp,FIPS County Code,FIPS MCD Code,MIGCOUNTY,MIGSP Migration (3-digit) State Code,MIGPUMA
31,61,0,Franklin County,31,500
31,63,0,Frontier County,31,400
31,65,0,Furnas County,31,400
31,67,0,Gage County,31,600
31,69,0,Garden County,31,100
31,71,0,Garfield County,31,300
31,73,0,Gosper County,31,400
31,75,0,Grant County,31,400
31,77,0,Greeley County,31,300
31,79,0,Hall County,31,300
31,81,0,Hamilton County,31,300
31,83,0,Harlan County,31,500
31,85,0,Hayes County,31,400
31,87,0,Hitchcock County,31,400
31,89,0,Holt County,31,100
31,91,0,Hooker County,31,400
31,93,0,Howard County,31,300
31,95,0,Jefferson County,31,600
31,97,0,Johnson County,31,600
31,99,0,Kearney County,31,500
31,101,0,Keith County,31,400
31,103,0,Keya Paha County,31,100
31,105,0,Kimball County,31,100
31,107,0,Knox County,31,200
31,109,0,Lancaster County,31,800
31,111,0,Lincoln County,31,400
31,113,0,Logan County,31,400
31,115,0,Loup County,31,300
31,117,0,McPherson County,31,400
31,119,0,Madison County,31,200
31,121,0,Merrick County,31,300
31,123,0,Morrill County,31,100
31,125,0,Nance County,31,200
31,127,0,Nemaha County,31,600
31,129,0,Nuckolls County,31,500
31,131,0,Otoe County,31,600
31,133,0,Pawnee County,31,600
31,135,0,Perkins County,31,400
31,137,0,Phelps County,31,500
31,139,0,Pierce County,31,200
31,141,0,Platte County,31,200
31,143,0,Polk County,31,600
31,145,0,Red Willow County,31,400
31,147,0,Richardson County,31,600
31,149,0,Rock County,31,100
31,151,0,Saline County,31,600
31,153,0,Sarpy County,31,702
31,155,0,Saunders County,31,701
31,157,0,Scotts Bluff County,31,100
31,159,0,Seward County,31,600
31,161,0,Sheridan County,31,100
31,163,0,Sherman County,31,300
31,165,0,Sioux County,31,100
31,167,0,Stanton County,31,200
31,169,0,Thayer County,31,600
31,171,0,Thomas County,31,400
31,173,0,Thurston County,31,200
31,175,0,Valley County,31,300
31,177,0,Washington County,31,701
31,179,0,Wayne County,31,200
31,181,0,Webster County,31,500
31,183,0,Wheeler County,31,300
31,185,0,York County,31,600
32,1,0,Churchill County,32,300
32,3,0,Clark County,32,400
32,5,0,Douglas County,32,200
