"","CountyToGroups","Bay Area","Inland Empire","LA/Orange"
"169","Jackson OR",NA,NA,149
"170","Jefferson NY",NA,NA,22
"171","Jefferson Parish LA",NA,NA,-174
"172","Jones NC",NA,-605,NA
"173","Kenai Peninsula Borough AK",NA,NA,109
"174","Kent MI",NA,NA,256
"175","Kent RI",NA,NA,-131
"176","Kings CA",NA,214,1769
"177","Kitsap WA",NA,NA,114
"178","La Paz AZ",NA,-956,-1569
"179","Lake OH",NA,NA,-426
"180","Larimer CO",NA,NA,263
"181","Loudoun VA",NA,NA,-280
"182","Madison MS",NA,NA,148
"183","Manatee FL",NA,NA,36
"184","Marion IN",NA,NA,961
"185","Marion OR",NA,NA,-193
"186","McLennan TX",NA,NA,-161
"187","Mecklenburg NC",NA,NA,653
"188","Mesa CO",NA,NA,171
"189","Miami-Dade FL",NA,346,-219
"190","Middlesex NJ",NA,NA,114
"191","Milwaukee WI",NA,NA,-591
"192","Monroe NY",NA,NA,-141
"193","Montgomery PA",NA,NA,32
"194","Montgomery TX",NA,NA,-61
"195","Morris NJ",NA,NA,152
"196","New London CT",NA,NA,-180
"197","Newport News city VA",NA,NA,136
"198","Norfolk city VA",NA,134,NA
"199","Oconee SC",NA,NA,-9
"200","Okaloosa FL",NA,-98,NA
"201","Oklahoma OK",NA,NA,229
"202","Ontario NY",NA,NA,-27
"203","Orange FL",NA,NA,-349
"204","Orange VT",NA,NA,-96
"205","Orleans Parish LA",NA,NA,416
"206","Palm Beach FL",NA,-493,-447
"207","Pickens AL",NA,NA,231
"208","Pima AZ",NA,-364,666
"209","Polk FL",NA,NA,-313
"210","Pulaski AR",NA,1617,NA
"211","Putnam FL",NA,NA,-65
"212","Richmond city VA",NA,NA,21
"213","Seminole FL",NA,199,-379
"214","Spokane WA",NA,24,-3166
"215","St. Tammany Parish LA",NA,NA,20
"216","Sullivan NY",NA,NA,-33
"217","Tarrant TX",NA,NA,-1642
"218","Thurston WA",NA,NA,-181
"219","Tulsa OK",NA,NA,-236
"220","Union NJ",NA,NA,81
"221","Wake NC",NA,NA,498
"222","Washington AR",NA,NA,-218
"223","Wayne MI",NA,NA,-183
"224","Williamson TX",NA,NA,-979
"225","Yavapai AZ",NA,104,-373
"226","Yuma AZ",NA,NA,-659
